Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
CRC_ACCC_12	0.0291977995692549	0.0884068674745531	0.512319768701532	0.315978752858578	0	0.301564067136643	0	0.168532569712905	0.223886918537683	0	0	0.105964841420309	0.0642216213136077	0.309115085626245	0.0371754050618603	0.113547066732106	0.00867575232638021	0.00133325409417813	0	0.0923014760217537	0.107774045628084	0	0	0.309288790722635	0.95445795330725	2.47999529221567
CRC_ACCC_13	0.0024465180124821	0.0281322799922665	0.425205346915035	0.404268116326463	0	0.345255647884931	0	0.191818542805856	0.16303946763516	0	0.0562361154488584	0	0.0519370183890036	0.205015714803467	0.0490243821963198	0.0728688918074053	0.0232532293275674	0	0	0.105863913555447	0.012893390332805	0	0	0.333277249617451	0.946909147444766	2.13725857543307
CRC_ACCC_14	0.0353890354567853	0	0.362918499382969	0.295771017283955	0	0.468251669731444	0	0.144861569459363	0.148979689839926	0	0	0.123840399701836	0.0856109106693399	0.398324562324105	0.131484142191133	0.29221873299617	0	0	0	0.200480547090006	0	0.192195090515419	0	0.319724141599131	0.951461791994236	2.88032586664245
CRC_ACCC_15	0.0127743531388035	0	0.296890584991407	0.163927191110586	0	0.198430819623744	0	0.0519904286479855	0.181184293380794	0	0	0.0800212111262417	0.0231764878118956	0.348311968264692	0.0594289050347967	0.286762911838035	0	0	0	0.16382892841333	0.0420199842675059	0.128074258999862	0	0.376300934998806	0.926554359289622	2.03682232664968
CRC_ACCC_16	0.110381330303458	0	0.0500632194779822	0.565687408129686	0	0.292822451294996	0	0.215655556782567	0.45512404158669	0	0	0	0.0794875298378992	0.9043253512874	0.279294527646822	0.408596279342444	0.0367795491173246	0	0.0441609445299272	0.0670223132418282	0	0	0	0.468185260501798	0.882847451622339	3.50940050257902
CRC_ACCC_17	0.0106686215416887	0	0.162757683621896	0.284579896931193	0	0.117521043289357	0.0474939273227775	0.0604708365765141	0.0924285141769665	0	0.00888942979784579	0.0421027485562931	0	0.603383930622503	0.0558747433876871	0.240473790661151	0	0.0305593223885393	0	0.366145346107573	0.0167813089267805	0.152437129546048	0	0.430102077841972	0.903881237180793	2.29256827345481
CRC_ACCC_18	0.0489617947253509	0	0.060106062465016	0.279865285147639	0	0.2575184260743	0.0544869146892267	0.0598840777055587	0.100221197751833	0	0	0.0322195336434252	0.0447191459091475	0.465263226266928	0.0963646308328344	0.111819876101881	0	0	0	0.247729181120965	0	0.00480194106701024	0	0.28502790166089	0.976227696053713	1.86396129350112
CRC_ACCC_19	0.0100053872407633	0	0	0.31896924893699	0	0.326863374796903	0.054189527729989	0	0.0186456266009935	0	0.0259049867833857	0.124275335303072	0.136378353290756	1.18372378429447	0.188791962738472	0.230190522914689	0	0	0	0.249828248775282	0	0	0	0.634129472794971	0.775981665482773	2.86776635940577
CRC_ACCC_20	0	0.0138502871031218	0.172108930413435	0.0696977330700487	0	0.104197730264473	0	0.0517928810390267	0.158294227888619	0	0.00884146917238858	0.0247673362732519	0.109245787160259	0.867483869693465	0.0413685429664771	0.139446276663872	0	0	0	0.101874493072139	0	0	0	0.638728359612452	0.774239354712121	1.86296956478058
CRC_ACCC_21	0.0461007300408124	0	0.309519850660509	0.565921940219277	0	0.43913963929909	0	0.194997214660999	0.266432355442137	0	0	0.0311810005201476	0.10557808838341	0.964611408384665	0.173859006780218	0.226817270277359	0	0	0	0.0662938214890349	0	0	0.01	0.2162821757906	1.00637704479166	3.39045232615766
CRC_ACCC_22	0.0882296901749652	0.0542710773650621	0.602139361484776	0.966863978595049	0	0.401857972146403	0	0.16060838717159	0.212347041440068	0	0	0.111550812951674	0	0	0.0969076723781042	0.350119548103728	0.0174392503433741	0	0.167340131481541	0	0.00640737485438122	0	0.02	0.157328172305884	1.02981153994704	3.23608229849072
CRC_ACCC_23	0.0063949077414779	0	0.0587462906810242	0.222128498223151	0	0.190801217393194	0	0.0877126593137977	0.086789465679837	0	0.120205278479389	0	0	0.883862855879076	0.102115401493481	0.205762464522113	0	0	0	0.375421760667418	0	0.0621430048359873	0	0.36543856564556	0.94696903393093	2.40208380490994
CRC_ACCC_24	0.0379257301290015	0	0.00298747103137517	0.0210782142879909	0	0.277446118084338	0	0.0292928933280911	0.0669132313242896	0	0	0.0849443396268533	0.0994498231953207	1.13969875822804	0.0464179542029463	0.150381406688067	0	0	0	0.711531683307881	0.0166924535830509	0.431466470395215	0	0.564226139896941	0.826727882843062	3.11622654741246
CRC_ACCC_25	0.0756668234738548	0.00210630762106281	0.23908411989957	0.264759351814943	0	0.288438638445843	0.0128825584892554	0.150988754275065	0.0931475714541756	0	0.00444891365862469	0	0.109184279373466	0.962042647238442	0.187817481339824	0.304367639163801	0	0	0	0.453042781283899	0	0.0536356151138234	0	0.548093073402017	0.83801609539331	3.20161348264565
CRC_ACCC_26	0.0441647556597367	0.0502614825725292	0.184871095126578	0.30570007176166	0	0.790293921025338	0	0	0.0695513374163886	0	0	0.0862370357142521	0.169012890553975	0.114106931066106	0.106466202067838	0.626115308686358	0.00376338048947297	0	0.420628496709408	0.0903533431372559	0	0.00714530628582452	0	0.306421284572875	0.956697078155537	3.06867155827272
CRC_ACCC_27	0.0284328996277771	0	0.00318709720868136	0.0102937981423694	0	0.246601167780807	0	0	0.0771831152351438	0	0.022653028161553	0	0.0214394841113226	0.738085666012518	0.0123008710555671	0.18982952414073	0	0	0.0105466542233876	0.00805144235942348	0	0	0.05	0.120840170167975	1.11742410629313	1.36860474805928
CRC_ACCC_28	0	0	0.509191722928772	0.146695000550349	0	0.321039922390224	0	0.0360155755210466	0.296633382508893	0	0.00297493656069807	0	0	0.175173468936375	0.0415675884727852	0.262937730832316	0.00178425953016114	0.0222371856720636	0	0.0974060534242733	0.0035116661205943	0.0752363162202682	0.02	0.166316266979325	1.00841215042645	1.99240480966882
CRC_ACCC_29	0.0380629042974457	0	0	0.22721295004422	0	0.199913136871602	0	0	0	0	0.0383035404335527	0.0285110750575368	0.077191998974726	0	0.111087417874503	0.294052532668336	0.0565866502355332	0	0.229111151560505	0	0	0	0.19	0.0829426183915407	1.05424019189946	1.30003335801796
