Biomarker	Function	Somatic_or_Germline_alteration	Alteration	Biomarker_basket
CCNE1	Gain-of-function	Somatic	Gain	CC
JAK1	Gain-of-function	Somatic	SNV/indel	TK
STAT5B	Gain-of-function	Somatic	SNV/indel	OTH
JAK1	Gain-of-function	Somatic	SNV/indel	TK
STAT5B	Gain-of-function	Somatic	SNV/indel	OTH
IDH1	Gain-of-function	Somatic	SNV/indel	OTH
KRAS	Gain-of-function	Somatic	SNV/indel	RME
KRAS	Gain-of-function	Somatic	SNV/indel	RME
ATM	Loss-of-function	Somatic	Deletion	DDR
CHEK1	Loss-of-function	Somatic	Deletion	DDR
CHEK2	Loss-of-function	Somatic	Deletion	DDR
FANCA	Loss-of-function	Somatic	Deletion	DDR
FANCD2	Loss-of-function	Somatic	Deletion	DDR
IDH1	Gain-of-function	Somatic	SNV/indel	OTH
MRE11	Loss-of-function	Somatic	Deletion	DDR
RAD51	Loss-of-function	Somatic	Deletion	DDR
RAD51B	Loss-of-function	Somatic	Deletion	DDR
SBS8	Composite biomarker	Somatic	Mutational signature	DDR
FGFR2	Gain-of-function	Somatic	Overexpression	TK
FGFR3	Gain-of-function	Somatic	Overexpression	TK
FGFR4	Gain-of-function	Somatic	Overexpression	TK
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2A	Loss-of-function	Somatic	Underexpression	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Underexpression	CC
CD274	Gain-of-function	Somatic	Gain	IE
PDCD1LG2	Gain-of-function	Somatic	Gain	IE
TMB	Composite biomarker	Somatic	Positive	IE
NA	NA	NA	NA	NA
ARID1A	Loss-of-function	Somatic	SNV/indel	OTH
NA	NA	NA	NA	NA
BRCA2	Loss-of-function	Somatic	Underexpression	DDR
BRCA2	Loss-of-function	Somatic	Deletion	DDR
BRIP1	Loss-of-function	Somatic	Underexpression	DDR
CHEK2	Loss-of-function	Somatic	Deletion	DDR
CHEK2	Loss-of-function	Somatic	Underexpression	DDR
FANCA	Loss-of-function	Somatic	Underexpression	DDR
FANCC	Loss-of-function	Somatic	Underexpression	DDR
FANCC	Loss-of-function	Somatic	Deletion	DDR
FANCD2	Loss-of-function	Somatic	Underexpression	DDR
RAD51AP1	Loss-of-function	Somatic	Underexpression	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
STK36	Loss-of-function	Somatic	SNV/indel	DEV
NA	NA	NA	NA	NA
FGFR1	Gain-of-function	Somatic	Overexpression	TK
FYN	Gain-of-function	Somatic	Overexpression	TK
GAK	Gain-of-function	Somatic	Overexpression	CC
PDGFA	Gain-of-function	Somatic	Overexpression	TK
PDGFRA	Gain-of-function	Somatic	Overexpression	TK
ROR1	Gain-of-function	Somatic	Overexpression	TK
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2A	Loss-of-function	Somatic	Underexpression	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Underexpression	CC
RB1	Loss-of-function	Somatic	Underexpression	CC
RB1	Loss-of-function	Somatic	Deletion	CC
MTOR	Gain-of-function	Somatic	Underexpression	PAM
MTOR	Gain-of-function	Somatic	SNV/indel	PAM
NF2	Loss-of-function	Somatic	Deletion	PAM
RPTOR	Gain-of-function	Somatic	Overexpression	PAM
TSC1	Loss-of-function	Somatic	Deletion	PAM
TMB	Composite biomarker	Somatic	Positive	IE
FGFR1	Gain-of-function	Somatic	Overexpression	TK
KDR	Gain-of-function	Somatic	Gain	TK
KIT	Gain-of-function	Somatic	Gain	TK
PDGFA	Gain-of-function	Somatic	Overexpression	TK
PDGFRA	Gain-of-function	Somatic	Overexpression	TK
PDGFRA	Gain-of-function	Somatic	Gain	TK
ERCC5	Loss-of-function	Somatic	Deletion	DDR
FANCB	Loss-of-function	Somatic	Deletion	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
XRCC5	Gain-of-function	Somatic	Deletion	NA
PTEN	Loss-of-function	Somatic	SNV/indel	PAM
ERG	Gain-of-function	Somatic	Overexpression	OTH
FGF4	Gain-of-function	Somatic	Overexpression	TK
FLT1	Gain-of-function	Somatic	Overexpression	TK
KIT	Gain-of-function	Somatic	Gain	TK
PDGFA	Gain-of-function	Somatic	Overexpression	TK
PDGFRA	Gain-of-function	Somatic	Gain	TK
PDGFRA	Gain-of-function	Somatic	Overexpression	TK
PDGFRB	Gain-of-function	Somatic	Overexpression	TK
CD274	Gain-of-function	Somatic	Overexpression	IE
TMB	Composite biomarker	NA	Positive	IE
ATM	Loss-of-function	Somatic	SNV/indel	DDR
BRCA2	Loss-of-function	Somatic	Deletion	DDR
SBS3	Composite biomarker	NA	Mutational signature	DDR
ERBB2	Gain-of-function	Somatic	Overexpression	TK
ERBB3	Gain-of-function	Somatic	SNV/indel	TK
ERBB3	Gain-of-function	Somatic	Overexpression	TK
ERBB4	Gain-of-function	Somatic	Overexpression	TK
AKT1	Gain-of-function	Somatic	Overexpression	PAM
NF1	Loss-of-function	Somatic	SNV/indel	RME
PIK3R1	Loss-of-function	Somatic	Overexpression	PAM
NF1	Loss-of-function	Somatic	SNV/indel	RME
WNK2	Loss-of-function	Somatic	SNV/indel	RME
SHH	Gain-of-function	Somatic	Overexpression	DEV
SHH	Gain-of-function	Somatic	Gain	DEV
NA	NA	NA	NA	NA
HRD	Composite biomarker	Somatic	Positive	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
TMB	Composite biomarker	Somatic	Positive	IE
HRD	Composite biomarker	Somatic	Positive	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
HRD	Composite biomarker	Somatic	Positive	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
RAF1	Gain-of-function	Somatic	Overexpression	RME
FLT1	Gain-of-function	Somatic	Overexpression	TK
KDR	Gain-of-function	Somatic	Overexpression	TK
PTPN12	Loss-of-function	Somatic	Overexpression	TK
NA	NA	NA	NA	NA
BRCA1	Loss-of-function	Somatic	Deletion	DDR
PDGFRA	Gain-of-function	Somatic	Gain	TK
RAF1	Gain-of-function	Somatic	Gain	RME
FGF1	Gain-of-function	Somatic	SNV/indel	TK
TMB	Composite biomarker	NA	Positive	IE
MTOR	Gain-of-function	Somatic	Gain	PAM
TSC1	Loss-of-function	Somatic	Deletion	PAM
ERBB2	Gain-of-function	Somatic	SNV/indel	TK
CCND1	Gain-of-function	Somatic	Gain	CC
FGF3	Gain-of-function	Somatic	Gain	TK
FGF4	Gain-of-function	Somatic	Gain	TK
MDM2	Gain-of-function	Somatic	Gain	CC
SBS8	Composite biomarker	Somatic	Mutational signature	DDR
FGFR1	Gain-of-function	Somatic	Overexpression	TK
FGFR2	Gain-of-function	Somatic	Overexpression	TK
PDGFA	Gain-of-function	Somatic	Overexpression	TK
PDGFRA	Gain-of-function	Somatic	Overexpression	TK
ROS1	Gain-of-function	Somatic	Overexpression	TK
MYB	Gain-of-function	Somatic	Fusion	OTH
NFIB	Gain-of-function	Somatic	Fusion	OTH
ALK	Gain-of-function	Somatic	Overexpression	TK
MET	Gain-of-function	Somatic	Overexpression	TK
FBXW7	Loss-of-function	Somatic	Deletion	PAM
PBRM1	Loss-of-function	Somatic	SNV/indel	OTH
CDKN2A	Loss-of-function	Somatic	Underexpression	CC
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Underexpression	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
NA	NA	NA	NA	NA
ERCC4	Loss-of-function	Somatic	Deletion	DDR
FANCA	Loss-of-function	Somatic	Deletion	DDR
FANCF	Loss-of-function	Somatic	Deletion	DDR
FANCG	Loss-of-function	Somatic	Deletion	DDR
PALB2	Loss-of-function	Somatic	Deletion	DDR
PIK3CA	Gain-of-function	Somatic	Gain	PAM
TSC2	Loss-of-function	Somatic	Deletion	PAM
PTCH1	Loss-of-function	Somatic	Deletion	DEV
ARAF	Gain-of-function	Somatic	Gain	RME
FLT1	Gain-of-function	Somatic	Overexpression	TK
KDR	Gain-of-function	Somatic	Overexpression	TK
MSH2	Loss-of-function	Somatic	SNV/indel	DDR
TMB	Composite biomarker	Somatic	Positive	IE
CDK4	Gain-of-function	Somatic	Overexpression	CC
CDK4	Gain-of-function	Somatic	Gain	CC
MDM2	Gain-of-function	Somatic	Overexpression	CC
MDM2	Gain-of-function	Somatic	Gain	CC
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NAB2	NA	Somatic	Fusion	OTH
STAT6	Gain-of-function	Somatic	Fusion	OTH
COL1A1	Gain-of-function	Somatic	Overexpression	NA
COL1A1	Gain-of-function	Somatic	Fusion	NA
FLT4	Gain-of-function	Somatic	Gain	TK
PDGFB	Gain-of-function	Somatic	Fusion	TK
PDGFB	Gain-of-function	Somatic	Overexpression	TK
ATR	Loss-of-function	Somatic	Deletion	DDR
ATR	Loss-of-function	Somatic	Underexpression	DDR
HRD	Composite biomarker	Somatic	Positive	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
STK36	Loss-of-function	Somatic	SNV/indel	DEV
NF2	Loss-of-function	Somatic	Deletion	PAM
RAD51D	Loss-of-function	Germline	SNV/indel	DDR
RECQL	Loss-of-function	Germline	SNV/indel	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
NF2	Loss-of-function	Somatic	Deletion	PAM
FGF1	Gain-of-function	Somatic	Overexpression	TK
FGFR2	Gain-of-function	Somatic	Overexpression	TK
FGFR2	Gain-of-function	Somatic	Fusion	TK
FGFR3	Gain-of-function	Somatic	Overexpression	TK
FGFR4	Gain-of-function	Somatic	Overexpression	TK
WAC	Gain-of-function	Somatic	Overexpression	NA
WAC	Gain-of-function	Somatic	Fusion	NA
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2A	Loss-of-function	Somatic	Underexpression	CC
BRCA1	Loss-of-function	Somatic	SNV/indel	DDR
FANCB	Loss-of-function	Somatic	Deletion	DDR
FANCC	Loss-of-function	Somatic	Deletion	DDR
FANCF	Loss-of-function	Somatic	Deletion	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
PDGFA	Gain-of-function	Somatic	Gain	TK
PDGFRA	Gain-of-function	Germline	SNV/indel	TK
CTAG1B	Gain-of-function	Somatic	Overexpression	IE
NA	NA	NA	NA	NA
BAP1	Loss-of-function	Somatic	Deletion	DDR
RAD51D	Loss-of-function	Somatic	Deletion	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
CDK6	Gain-of-function	Somatic	Gain	CC
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CD274	Gain-of-function	Somatic	Gain	IE
PDCD1LG2	Gain-of-function	Somatic	Gain	IE
PTEN	Loss-of-function	Somatic	Fusion	PAM
RNLS	Loss-of-function	Somatic	Fusion	NA
TMB	Composite biomarker	Somatic	Positive	IE
HRD	Composite biomarker	Somatic	Positive	DDR
PTEN	Loss-of-function	Somatic	Fusion	PAM
RNLS	Loss-of-function	Somatic	Fusion	NA
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
PIK3CA	Gain-of-function	Somatic	Gain	PAM
PTEN	Loss-of-function	Somatic	Fusion	PAM
RNLS	Loss-of-function	Somatic	Fusion	NA
NA	NA	Germline	NA	NA
NA	NA	NA	NA	NA
FGF2	Gain-of-function	Somatic	Overexpression	TK
FGF3	Gain-of-function	Somatic	Overexpression	TK
FGF4	Gain-of-function	Somatic	Overexpression	TK
SDHA	Loss-of-function	Germline	SNV/indel	OTH
NRG3	Gain-of-function	Somatic	Overexpression	TK
SDHA	Loss-of-function	Germline	NA	OTH
JAK3	Gain-of-function	Somatic	SNV/indel	TK
ATM	Loss-of-function	Somatic	SNV/indel	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
FGF2	Gain-of-function	Somatic	Overexpression	TK
FGFR1	Gain-of-function	Somatic	Overexpression	TK
CTLA4	Gain-of-function	Somatic	Deletion	IE
CTLA4	Gain-of-function	Somatic	Underexpression	IE
LAG3	Gain-of-function	Somatic	Overexpression	IE
PDCD1LG2	Gain-of-function	Somatic	Overexpression	IE
ERBB4	Gain-of-function	Somatic	Overexpression	TK
NRG2	Gain-of-function	Somatic	Overexpression	TK
ERBB4	Gain-of-function	Somatic	Overexpression	TK
NRG2	Gain-of-function	Somatic	Overexpression	TK
PDCD1	Gain-of-function	Somatic	Overexpression	IE
HGF	Gain-of-function	Somatic	SNV/indel	TK
CLDN18	Gain-of-function	Somatic	Overexpression	IE
PALB2	Loss-of-function	Somatic	SNV/indel	DDR
TSC2	Loss-of-function	Somatic	SNV/indel	PAM
ABL1	Gain-of-function	Somatic	Overexpression	RME
MYB	Gain-of-function	Somatic	Fusion	OTH
NFIB	Gain-of-function	Somatic	Fusion	OTH
FGFR1	Gain-of-function	Somatic	Overexpression	TK
KIT	Gain-of-function	Somatic	Overexpression	TK
PDGFA	Gain-of-function	Somatic	Overexpression	TK
RECQL4	Loss-of-function	Germline	NA	DDR
FANCC	Loss-of-function	Somatic	Deletion	DDR
FANCC	Loss-of-function	Somatic	SNV/indel	DDR
HRD	Composite biomarker	Somatic	Positive	DDR
MSI	Composite biomarker	Somatic	MSI	NA
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
XRCC2	Loss-of-function	Somatic	SNV/indel	DDR
ASCL1	Gain-of-function	Somatic	Overexpression	OTH
BRD2	Gain-of-function	Somatic	Overexpression	OTH
BRD4	Gain-of-function	Somatic	Overexpression	OTH
MYC	Gain-of-function	Somatic	Gain	CC
MYC	Gain-of-function	Somatic	Overexpression	CC
MAGEA3	Gain-of-function	Somatic	Overexpression	IE
MSI	Composite biomarker	Somatic	MSI	NA
CD274	Gain-of-function	Somatic	Underexpression	IE
FANCC	Loss-of-function	Somatic	Deletion	DDR
FANCC	Loss-of-function	Somatic	SNV/indel	DDR
HRD	Composite biomarker	Somatic	Positive	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
XRCC2	Loss-of-function	Somatic	SNV/indel	DDR
TMB	Composite biomarker	NA	Positive	IE
ERBB3	Gain-of-function	Somatic	Overexpression	TK
KRAS	Gain-of-function	Somatic	SNV/indel	RME
CD274	Gain-of-function	Somatic	Overexpression	IE
CTLA4	Gain-of-function	Somatic	Overexpression	IE
PDCD1LG2	Gain-of-function	Somatic	Overexpression	IE
CDKN2A	Loss-of-function	Somatic	SNV/indel	CC
NFE2L2	Loss-of-function	Somatic	SNV/indel	NA
PTEN	Loss-of-function	Somatic	Deletion	PAM
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
FGFR1	Gain-of-function	Somatic	Overexpression	TK
KIT	Gain-of-function	Somatic	SNV/indel	TK
NA	NA	NA	NA	NA
CD274	Gain-of-function	Somatic	Overexpression	IE
CTLA4	Gain-of-function	Somatic	Overexpression	IE
LAG3	Gain-of-function	Somatic	Overexpression	IE
PDCD1	Gain-of-function	Somatic	Overexpression	IE
PDCD1LG2	Gain-of-function	Somatic	Overexpression	IE
CDKN2A	Loss-of-function	Somatic	SNV/indel	CC
SBS3	Composite biomarker	NA	Mutational signature	DDR
SLFN11	Gain-of-function	Somatic	Overexpression	DDR
STK11	Loss-of-function	Somatic	SNV/indel	PAM
FASLG	Gain-of-function	Somatic	Overexpression	RME
TMB	Composite biomarker	Somatic	Positive	IE
ATM	Loss-of-function	Germline	SNV/indel	DDR
HRD	Composite biomarker	Somatic	Positive	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
MET	Gain-of-function	Somatic	SNV/indel	TK
MET	Gain-of-function	Somatic	Deletion	TK
ARID1A	Loss-of-function	Somatic	Deletion	OTH
ARID1A	Loss-of-function	Somatic	SNV/indel	OTH
ATM	Loss-of-function	Germline	NA	DDR
NA	NA	NA	NA	NA
KRAS	Gain-of-function	Somatic	SNV/indel	RME
TMB	Composite biomarker	Somatic	Positive	IE
ERBB3	Gain-of-function	Somatic	Overexpression	TK
KRAS	Gain-of-function	Somatic	SNV/indel	RME
PIK3CA	Gain-of-function	Somatic	SNV/indel	PAM
KRAS	Gain-of-function	Somatic	SNV/indel	RME
CDK4	Gain-of-function	Somatic	Gain	CC
KRAS	Gain-of-function	Somatic	SNV/indel	RME
SMAD4	Loss-of-function	Somatic	Deletion	DEV
TP53	Loss-of-function	Somatic	SNV/indel	CC
KRAS	Gain-of-function	Somatic	SNV/indel	RME
SMAD4	Loss-of-function	Somatic	Deletion	DEV
TP53	Loss-of-function	Somatic	SNV/indel	CC
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
PALB2	Loss-of-function	Somatic	SNV/indel	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
ERBB2	Gain-of-function	Somatic	Gain	TK
ERBB2	Gain-of-function	Somatic	Overexpression	TK
ERBB3	Gain-of-function	Somatic	Gain	TK
ERBB3	Gain-of-function	Somatic	Overexpression	TK
KRAS	Gain-of-function	Somatic	SNV/indel	RME
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
CD274	Gain-of-function	Somatic	Gain	IE
CD274	Gain-of-function	Somatic	Overexpression	IE
PDCD1LG2	Gain-of-function	Somatic	Gain	IE
PDCD1LG2	Gain-of-function	Somatic	Overexpression	IE
ATM	Loss-of-function	Somatic	Deletion	DDR
ATM	Loss-of-function	Somatic	Underexpression	DDR
BRCA2	Loss-of-function	Somatic	Deletion	DDR
BRCA2	Loss-of-function	Somatic	Underexpression	DDR
CHEK1	Loss-of-function	Somatic	Underexpression	DDR
CHEK1	Loss-of-function	Somatic	Deletion	DDR
CHEK2	Loss-of-function	Somatic	Deletion	DDR
CHEK2	Loss-of-function	Somatic	Underexpression	DDR
FANCA	Loss-of-function	Somatic	Underexpression	DDR
FANCA	Loss-of-function	Somatic	Deletion	DDR
HRD	Composite biomarker	Somatic	Positive	DDR
MRE11	Loss-of-function	Somatic	Underexpression	DDR
MRE11	Loss-of-function	Somatic	Deletion	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
CDKN2A	Loss-of-function	Somatic	Underexpression	CC
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Underexpression	CC
FGFR2	Gain-of-function	Somatic	Overexpression	TK
FGFR2	Gain-of-function	Somatic	SNV/indel	TK
FGFR2	Gain-of-function	Somatic	Fusion	TK
WAC	Gain-of-function	Somatic	Overexpression	NA
WAC	Gain-of-function	Somatic	Fusion	NA
TMB	Composite biomarker	Somatic	Positive	IE
DLL3	Gain-of-function	Somatic	Overexpression	DEV
FGFR4	Gain-of-function	Somatic	Overexpression	TK
FGFR4	Gain-of-function	Somatic	Overexpression	TK
KLB	Gain-of-function	Somatic	Overexpression	TK
RET	Gain-of-function	Somatic	Overexpression	TK
AR	Gain-of-function	Somatic	Overexpression	DEV
ESR1	Gain-of-function	Somatic	Overexpression	DEV
NA	NA	NA	NA	NA
BRCA2	Loss-of-function	Somatic	SNV/indel	DDR
FGFR2	Gain-of-function	Somatic	Overexpression	TK
FGFR2	Gain-of-function	Somatic	Gain	TK
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
PTPRJ	Loss-of-function	Somatic	Deletion	TK
CDK12	Loss-of-function	Somatic	Deletion	DDR
POLE	Loss-of-function	Somatic	SNV/indel	DDR
TMB	Composite biomarker	NA	Positive	IE
HRAS	Gain-of-function	Somatic	SNV/indel	RME
NF1	Loss-of-function	Somatic	SNV/indel	RME
NF1	Loss-of-function	Somatic	SNV/indel	RME
BRCA1	Loss-of-function	Somatic	SNV/indel	DDR
BRCA2	Loss-of-function	Somatic	SNV/indel	DDR
CHEK2	Loss-of-function	Somatic	SNV/indel	DDR
FGFR1	Gain-of-function	Somatic	SNV/indel	TK
FGFR1	Gain-of-function	Somatic	Overexpression	TK
CCND1	Gain-of-function	Somatic	Overexpression	CC
CDK4	Gain-of-function	Somatic	Overexpression	CC
CDKN2A	Loss-of-function	Somatic	Underexpression	CC
CDKN2A	Loss-of-function	Somatic	Deletion	CC
FGFR1	Gain-of-function	Somatic	Gain	TK
FGFR1	Gain-of-function	Somatic	Overexpression	TK
FGFR3	Gain-of-function	Somatic	Overexpression	TK
PAX3	Gain-of-function	Somatic	Overexpression	DEV
PTPRJ	Loss-of-function	Somatic	Underexpression	TK
RET	Gain-of-function	Somatic	Overexpression	TK
MYCL	Gain-of-function	Somatic	Overexpression	CC
MYCL	Gain-of-function	Somatic	Gain	CC
MYCN	Gain-of-function	Somatic	Overexpression	OTH
PAX7	Gain-of-function	Somatic	Overexpression	OTH
RHEB	Gain-of-function	Somatic	Overexpression	PAM
RPTOR	Gain-of-function	Somatic	Overexpression	PAM
RET	Gain-of-function	Somatic	Overexpression	TK
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2A	Loss-of-function	Somatic	Underexpression	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Underexpression	CC
AKT3	Gain-of-function	Somatic	Overexpression	PAM
RICTOR	Gain-of-function	Somatic	Gain	PAM
NA	NA	NA	NA	NA
PIK3R5	Gain-of-function	Somatic	SNV/indel	PAM
TMB	Composite biomarker	NA	Positive	IE
CDK4	Gain-of-function	Somatic	Gain	CC
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
FGF4	Gain-of-function	Somatic	Gain	TK
KDM6A	Loss-of-function	Somatic	SNV/indel	OTH
MDM2	Gain-of-function	Somatic	Gain	CC
IDH1	Gain-of-function	Somatic	SNV/indel	OTH
IDH1	Gain-of-function	Somatic	SNV/indel	OTH
TMB	Composite biomarker	NA	Positive	IE
FGFR3	Gain-of-function	Somatic	Overexpression	TK
SMARCA4	Loss-of-function	Somatic	SNV/indel	DEV
SMARCB1	Loss-of-function	Somatic	SNV/indel	DEV
SMARCB1	Loss-of-function	Somatic	Deletion	DEV
SMARCB1	Loss-of-function	Somatic	SNV/indel	DEV
SMARCB1	Loss-of-function	Somatic	Deletion	DEV
SMARCB1	Loss-of-function	Somatic	SNV/indel	DEV
SMARCB1	Loss-of-function	Somatic	Deletion	DEV
SMARCB1	Loss-of-function	Somatic	SNV/indel	DEV
SMARCB1	Loss-of-function	Somatic	Deletion	DEV
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2A	Loss-of-function	Somatic	Underexpression	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Underexpression	CC
ATM	Loss-of-function	Germline	SNV/indel	DDR
MSH3	Loss-of-function	Somatic	SNV/indel	NA
FLT4	Gain-of-function	Somatic	Overexpression	TK
KDR	Gain-of-function	Somatic	Overexpression	TK
PDGFB	Gain-of-function	Somatic	Overexpression	TK
TEK	Gain-of-function	Somatic	Overexpression	TK
TPT1	Gain-of-function	Somatic	SNV/indel	NA
TPT1	Gain-of-function	Somatic	Overexpression	NA
KRAS	Gain-of-function	Somatic	SNV/indel	RME
TMB	Composite biomarker	NA	Positive	IE
ERBB3	Gain-of-function	Somatic	SNV/indel	TK
NRG1	Gain-of-function	Somatic	SNV/indel	TK
KRAS	Gain-of-function	Somatic	SNV/indel	RME
KRAS	Gain-of-function	Somatic	SNV/indel	RME
EWSR1	Gain-of-function	Somatic	Fusion	OTH
FLI1	Gain-of-function	Somatic	Fusion	OTH
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
SLFN11	Gain-of-function	Somatic	Overexpression	DDR
SLFN11	Gain-of-function	Somatic	SNV/indel	DDR
EZH2	Gain-of-function	Somatic	Overexpression	OTH
ALK	Gain-of-function	Somatic	Overexpression	TK
NTRK1	Gain-of-function	Somatic	Overexpression	TK
ATM	Loss-of-function	Somatic	Deletion	DDR
BRCA2	Loss-of-function	Somatic	Deletion	DDR
MRE11	Loss-of-function	Somatic	Deletion	DDR
RAD51	Loss-of-function	Somatic	Deletion	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
NF1	Loss-of-function	Somatic	SNV/indel	RME
NF1	Loss-of-function	Somatic	Underexpression	RME
AKT1	Gain-of-function	Somatic	Overexpression	PAM
AKT2	Gain-of-function	Somatic	Overexpression	PAM
PIK3R2	Gain-of-function	Somatic	Gain	PAM
MYB	Gain-of-function	Somatic	Fusion	OTH
NFIB	Gain-of-function	Somatic	Fusion	OTH
FGF3	Gain-of-function	Somatic	Overexpression	TK
FGF4	Gain-of-function	Somatic	Overexpression	TK
FGFR1	Gain-of-function	Somatic	Overexpression	TK
KIF7	Gain-of-function	Somatic	Overexpression	DEV
SHH	Gain-of-function	Somatic	Overexpression	DEV
CDH6	Gain-of-function	Somatic	Fusion	NA
NRG1	Gain-of-function	Somatic	Fusion	TK
SARAF	Gain-of-function	Somatic	Fusion	NA
NRAS	Gain-of-function	Somatic	Gain	RME
E2A	Gain-of-function	Somatic	Fusion	NA
PBX1	Gain-of-function	Somatic	Fusion	NA
CDK6	Gain-of-function	Somatic	Overexpression	CC
