id	CRC_ACCC_01	CRC_ACCC_02	CRC_ACCC_03	CRC_ACCC_04	CRC_ACCC_05	CRC_ACCC_06	CRC_ACCC_07	CRC_ACCC_08	CRC_ACCC_09	CRC_ACCC_11	CRC_ACCC_12	CRC_ACCC_13	CRC_ACCC_14	CRC_ACCC_15	CRC_ACCC_16	CRC_ACCC_17	CRC_ACCC_18	CRC_ACCC_19	CRC_ACCC_20	CRC_ACCC_21	CRC_ACCC_22	CRC_ACCC_23	CRC_ACCC_24	CRC_ACCC_25	CRC_ACCC_26	CRC_ACCC_27	CRC_ACCC_28	CRC_ACCC_29
HALLMARK_INTERFERON_GAMMA_RESPONSE	11.4512	15.5495	12.4009	10.2861	11.4155	11.8676	12.7123	11.345	19.8905	14.8263	12.1981	11.6431	13.0337	11.7421	14.1726	16.2234	10.0346	14.0174	11.091	14.9618	12.9437	10.9713	14.169	14.089	12.1258	8.2939	14.2685	8.5977
HALLMARK_APICAL_JUNCTION	11.9338	14.7194	13.1456	13.2951	14.4334	13.7026	13.5995	12.9437	12.9133	12.1713	12.4427	14.538	15.755	13.3198	14.829	13.6746	12.0805	12.677	13.124	11.7405	13.2464	13.5849	12.966	14.802	14.4691	13.2553	13.8193	13.9202
HALLMARK_APICAL_SURFACE	3.3878	4.9551	4.174	4.0597	4.4253	4.79	4.7532	4.7658	4.5719	4.3123	4.4556	4.7831	5.3723	4.2571	4.4391	4.6768	3.92	4.6845	3.4985	4.4437	4.264	4.4849	4.8394	5.0791	5.4653	3.1123	4.6151	4.3343
HALLMARK_HEDGEHOG_SIGNALING	3.0731	4.4721	3.8856	3.6054	4.0992	4.0921	3.7304	2.8206	2.8832	3.6865	2.5351	4.2852	4.2998	3.3203	4.5758	2.9844	3.3158	4.7387	3.5653	3.7268	3.7388	3.9525	3.4793	3.8982	4.286	3.7458	3.9143	4.4663
HALLMARK_COMPLEMENT	8.9633	14.6696	13.7922	11.611	11.7836	11.7742	12.6301	12.193	13.9657	12.0901	12.0853	11.2883	12.8151	12.6493	12.4628	12.4224	10.5005	12.2505	10.6689	11.3617	12.5739	12.2111	13.2712	14.1336	11.6044	8.0284	11.2538	8.8067
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	13.6911	11.9669	13.8976	14.0922	12.9514	13.5435	12.7715	12.1756	13.5305	13.5076	12.2455	11.9606	11.9951	13.1695	12.9821	13.5102	13.4244	13.7422	12.8542	13.2695	10.9391	13.6905	14.327	13.5996	11.4345	12.6715	12.8233	10.5738
HALLMARK_PI3K_AKT_MTOR_SIGNALING	11.2046	10.7103	12.0586	11.6154	11.7948	11.805	11.3419	11.3226	11.5123	11.2714	12.1834	11.3994	11.5141	11.1423	11.4781	12.0412	11.5756	11.5585	11.3848	11.8959	11.9749	10.1024	11.7689	11.1615	11.4023	11.5559	10.8494	10.4892
HALLMARK_MTORC1_SIGNALING	18.6705	16.7748	20.9516	20.9944	17.4089	19.1918	16.6217	16.97	19.7514	19.8137	19.0021	15.8805	17.2254	19.3066	16.2306	20.6217	18.8393	17.9875	18.0489	18.5272	14.7029	19.7071	18.6704	16.1431	14.2536	16.1541	18.2719	13.1504
HALLMARK_E2F_TARGETS	18.4552	8.2544	14.694	15.9333	13.8382	14.9719	13.2953	9.6476	16.9958	12.5242	12.2315	10.7995	9.5647	13.5623	10.7681	16.5749	17.0621	13.1179	16.7225	14.3004	5.3627	15.7286	16.7092	10.2629	7.5152	12.9231	13.5084	7.9009
HALLMARK_MYC_TARGETS_V1	23.7856	20.2545	23.3664	23.1453	22.3342	22.4623	23.1394	20.246	22.8781	21.5231	22.5014	21.5292	20.799	21.5198	20.5662	24.3877	23.9207	21.2989	25.0767	22.4948	16.9623	22.6764	23.3878	22.2703	19.8922	21.314	21.0574	18.357
HALLMARK_MYC_TARGETS_V2	11.3654	5.9166	8.8623	8.1395	8.365	8.6818	8.6262	5.9164	10.2967	9.252	7.2074	7.9227	5.8993	8.665	7.2793	10.4307	10.6282	8.7222	10.9044	8.5696	2.4746	10.4702	10.1255	7.5409	4.8638	8.1482	8.8813	5.0354
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	15.407	21.8925	18.7535	17.0592	18.3476	19.3412	19.0787	15.983	16.115	14.8182	15.2621	17.1327	20.6929	15.8498	18.6489	17.6894	15.8542	18.2013	17.1347	16.157	16.7564	19.2371	17.6445	22.7644	20.9752	16.2927	15.1058	17.6218
HALLMARK_INFLAMMATORY_RESPONSE	4.7207	12.9509	10.2008	7.2836	7.1741	8.1765	8.1078	7.93	10.9318	8.4726	8.0188	7.1325	9.5831	8.3333	9.429	10.2908	6.6823	9.531	5.5587	8.4887	8.376	8.4554	11.0174	10.5258	8.2853	3.5087	7.8181	2.7666
HALLMARK_XENOBIOTIC_METABOLISM	9.9844	10.3357	12.0803	9.8377	11.5511	11.2382	11.4823	12.3247	10.0959	11.8983	11.4194	11.4137	11.747	12.9621	11.1892	10.3932	10.6364	10.6326	9.8311	10.4664	12.1585	10.999	10.7039	10.9386	8.5219	10.2803	11.7923	7.0589
HALLMARK_FATTY_ACID_METABOLISM	12.476	11.2102	12.0628	12.2738	12.7313	12.9665	13.1567	14.3724	10.7853	11.8749	13.5085	14.0929	12.2852	12.9058	12.9439	11.875	11.9463	11.5644	11.1884	12.522	12.9758	11.9132	12.8786	12.3784	11.109	11.8236	12.2066	11.76
HALLMARK_OXIDATIVE_PHOSPHORYLATION	17.6146	15.3696	18.0332	16.0091	17.3525	18.3402	17.1271	19.7718	18.004	17.5313	18.1385	18.2739	16.8252	19.0657	17.8052	18.4577	18.6339	15.799	15.8695	17.9478	17.2883	18.2698	17.5906	17.2563	17.1158	18.0843	18.3237	17.6789
HALLMARK_GLYCOLYSIS	14.9481	13.7978	15.6149	14.3231	15.0209	15.607	13.7608	14.4352	13.9822	16.1446	14.9366	15.1511	13.801	15.2991	13.6347	15.1564	14.2537	14.5856	13.6796	14.139	14.1487	13.9737	15.5386	14.6962	11.3648	14.4	15.4731	11.1255
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	7.7688	8.5423	7.6551	7.8246	8.0779	8.6835	9.0588	8.5009	9.943	8.3348	8.5503	8.4718	7.9937	8.7775	8.6047	9.4118	9.1208	8.3921	8.3525	8.4635	7.9358	7.8783	8.5041	8.018	8.2865	8.7012	7.9794	7.6633
HALLMARK_P53_PATHWAY	12.4517	14.7988	13.3512	12.69	12.9121	13.4955	15.1643	15.2718	16.2889	13.6992	13.6685	14.2641	14.5229	14.8264	15.8376	14.7319	12.8435	14.2876	13.5912	14.2528	14.8104	13.6661	15.2048	15.0009	13.8107	13.853	13.8769	12.1072
HALLMARK_UV_RESPONSE_UP	13.6585	12.3585	13.3547	12.6084	13.1839	12.331	13.2435	13.1937	13.3921	13.6093	13.8613	13.2522	12.9827	13.7708	13.4476	12.8524	13.1314	13.784	13.2307	12.9767	13.246	12.9634	15.0205	13.7707	12.2428	12.4486	12.221	11.4163
HALLMARK_UV_RESPONSE_DN	9.5337	12.2963	11.7852	11.6245	10.7318	11.0618	10.5918	11.7923	9.0293	10.3377	9.8697	10.2327	12.8248	9.075	11.2372	9.0636	10.2985	10.4867	10.1003	10.3886	13.106	11.8516	10.2027	12.9371	14.4262	10.7561	9.7674	13.1519
HALLMARK_ANGIOGENESIS	5.8939	8.246	7.3219	5.952	6.5261	6.9494	7.4023	5.7217	6.4425	5.1277	5.334	6.2402	8.1573	5.758	7.5933	6.2516	6.4491	7.3701	6.2075	5.6663	5.5868	7.9373	7.075	7.72	7.1943	5.8193	5.6075	5.1807
HALLMARK_HEME_METABOLISM	9.2022	10.0269	10.2906	10.2387	10.0002	11.1297	10.7358	12.473	9.8579	10.2949	12.0548	11.5087	10.908	10.8365	10.3514	9.7694	9.7989	10.2391	9.4705	10.9768	12.4355	10.0596	11.0058	10.9082	10.9616	9.9696	10.2608	10.7731
HALLMARK_COAGULATION	7.541	11.7792	10.7095	10.3044	11.313	12.0538	12.4061	10.6705	10.1705	11.1409	9.1208	10.0525	12.46	10.3037	11.2735	10.3073	9.6823	10.9025	8.7088	8.6187	8.9849	10.5406	10.4659	13.1104	10.0594	8.292	9.4208	7.9309
HALLMARK_IL2_STAT5_SIGNALING	11.4295	12.3199	12.7167	12.2391	11.1144	11.4116	11.4866	11.2592	11.3859	12.6005	11.7022	11.6404	13.1224	11.2752	12.2242	11.6273	10.6318	11.3266	10.7187	11.091	13.8904	11.4641	13.2457	13.5363	12.2709	9.9815	11.438	9.3275
HALLMARK_BILE_ACID_METABOLISM	3.0151	3.4986	4.1547	4.4511	4.5858	4.8706	4.9317	6.4412	2.2491	5.6783	4.9428	5.1166	4.71	4.8465	4.2603	3.4265	4.0109	3.4685	3.1145	3.0926	6.2148	2.6806	3.7462	3.3665	3.0064	4.4662	5	3.9221
HALLMARK_PEROXISOME	8.6039	8.0911	9.0878	9.1236	9.2966	9.1261	8.9624	10.4958	8.0222	9.1996	10.8584	9.6238	8.6348	9.8859	8.7575	8.2198	8.3708	8.4768	8.3802	9.8627	9.7744	7.8186	9.0175	8.2648	8.0658	9.0345	8.919	9.0198
HALLMARK_ALLOGRAFT_REJECTION	7.1258	11.7544	9.631	8.3446	8.1126	9.0133	9.7205	8.4347	13.5092	10.3892	9.6732	8.7909	9.9458	9.6494	11.0452	10.4547	8.7752	10.3872	8.0643	10.771	10.1311	8.2503	10.7978	11.2005	8.4596	5.0633	9.7223	4.5513
HALLMARK_SPERMATOGENESIS	0.9387	-2.4659	0.502	0.1625	0.2197	0.6343	0.2035	-0.2912	-0.7453	-1.0845	-0.0572	-0.1275	-0.7347	0.296	-0.5392	0.0965	0.9242	-1.035	0.6758	0.2052	-1.5537	-0.8985	-0.5164	-1.3576	-0.9492	-1.4655	-0.0906	-1.2176
HALLMARK_KRAS_SIGNALING_UP	4.5613	10.8127	10.3192	9.2908	9.9414	9.7418	10.0794	8.7109	7.4532	7.0599	8.3858	9.1651	11.1812	8.1842	9.4882	7.9386	6.1044	8.1285	5.8239	7.6331	9.1857	7.5927	7.6313	12.8321	8.2304	6.1871	6.8866	3.2449
HALLMARK_KRAS_SIGNALING_DN	-6.7781	-8.0329	-5.9225	-5.3442	-3.5394	-4.3055	-4.6224	-4.118	-8.5376	-5.8166	-3.1209	-2.2982	-3.3384	-4.9208	-4.1172	-7.9781	-8.624	-6.5777	-6.9394	-5.4976	-3.7985	-5.3699	-7.4862	-6.1774	-5.4789	-6.9273	-6.5065	-8.0279
HALLMARK_PANCREAS_BETA_CELLS	-1.3013	-2.6796	-1.2867	0.3355	0.7393	0.4063	-0.283	-0.5381	-3.126	-1.5973	0.9113	1.9942	1.0131	0.1937	-0.5081	-3.7206	-3.8008	-2.6667	-2.9882	-2.746	0.9759	-3.5418	-1.39	-3.0145	-2.8728	-2.6665	-2.5979	-2.9948
